REVIEW ARTIFACT - NOT AN EQUIVALENCE MAPPING. No mapping has been created or applied. Buckets are mixed; conflicting evidence is retained deliberately; the v1 CSV's multi-candidate detail still stands. Do not consume as a lookup table.
new_bucket,prior_bucket,changed,in_scope_for_this_task,new_course_id,new_course_name,valid_rows,first_valid_semester,candidate_1_course_id,candidate_1_name,new_evidence,new_reason,predecessor_last_active_semester_2025,predecessor_never_reached_activity_floor,predecessor_silent_semesters_after,predecessor_taper_confirmed,predecessor_taper_post_debut,predecessor_taper_pre_debut,predecessor_active_through_2025,predecessor_rows_2021,predecessor_rows_2024,predecessor_persistence_ratio,new_course_rows_2024,new_course_last_active_semester,new_course_short_lived,human_decision_required
likely_equivalent_needs_review,likely_equivalent_needs_review,False,True,1177.111,التحليل الرياضي2,688,20221,433.111,التحليل الرياضي 2,"predecessor still running through 2025 at reduced volume (last active 20251, 2024/2021 ratio 0.0674) - no confirmed taper","name similarity 1.00 with degree-lineage link; unmet for confirmation: credits, predecessor did not taper - still enrolling through 2025",20251,False,1,False,False,False,False,356,24,0.0674,355,20251,False,yes
likely_equivalent_needs_review,likely_equivalent_needs_review,False,True,1422.111,مهارات الحاسوب,686,20231,967.111,مهارات الحاسوب,"predecessor still running through 2025 at reduced volume (last active 20252, 2024/2021 ratio 0.0518) - no confirmed taper",name similarity 1.00 with degree-lineage link; unmet for confirmation: predecessor did not taper - still enrolling through 2025,20252,False,0,False,False,False,False,1659,86,0.0518,889,20252,False,yes
likely_equivalent_needs_review,likely_equivalent_needs_review,False,True,1375.111,مبادئ المحاسبة1,656,20221,1.111,مبادئ المحاسبة 1,"taper confirmed: predecessor last active 20232 (after the new course's debut), then near-zero for 6 consecutive semesters through 20252",name similarity 1.00 with degree-lineage link; unmet for confirmation: credits,20232,False,6,True,True,False,False,560,5,0.0089,169,20251,False,yes
likely_equivalent_needs_review,likely_equivalent_needs_review,False,True,1365.111,رياضيات الأعمال,638,20221,118.111,رياضيات الأعمال,"predecessor still running through 2025 at reduced volume (last active 20251, 2024/2021 ratio 0.05) - no confirmed taper",name similarity 1.00 with degree-lineage link; unmet for confirmation: predecessor did not taper - still enrolling through 2025,20251,False,1,False,False,False,False,420,21,0.05,189,20251,False,yes
confirmed_equivalent,likely_equivalent_needs_review,True,True,1332.111,إدارة الموارد البشرية,594,20221,73.111,إدارة الموارد البشرية,"taper confirmed: predecessor last active 20242 (after the new course's debut), then near-zero for 3 consecutive semesters through 20252","exact normalized name, equal credits (3.0) and requirement type, degree-lineage link, and an extended-history taper: predecessor 73.111 last active 20242, near-zero for 3 consecutive semesters through 20252",20242,False,3,True,True,False,False,453,18,0.0397,197,20251,False,yes
likely_equivalent_needs_review,likely_equivalent_needs_review,False,True,1372.111,مبادئ الإدارة,579,20221,70.111,مبادئ الإدارة,"taper confirmed: predecessor last active 20242 (after the new course's debut), then near-zero for 3 consecutive semesters through 20252",name similarity 1.00 with degree-lineage link; unmet for confirmation: credits,20242,False,3,True,True,False,False,401,21,0.0524,163,20251,False,yes
likely_equivalent_needs_review,likely_equivalent_needs_review,False,True,1178.111,الدارات المنطقية,567,20221,434.111,الدارات المنطقية,"taper confirmed: predecessor last active 20231 (after the new course's debut), then near-zero for 7 consecutive semesters through 20252",name similarity 1.00 with degree-lineage link; unmet for confirmation: credits,20231,False,7,True,True,False,False,415,5,0.012,327,20252,False,yes
unresolved,unresolved,False,True,1368.111,قانون الأعمال,531,20221,71.111,البيئة القانونية للأعمال,"predecessor still running through 2025 at reduced volume (last active 20252, 2024/2021 ratio 0.0249) - no confirmed taper",plausible but insufficient: name only 0.71 similar; predecessor still enrolling through 2025 - no taper,20252,False,0,False,False,False,False,361,9,0.0249,220,20252,False,yes
unresolved,unresolved,False,True,1181.111,البرمجة2,517,20221,519.111,برمجة النظم,"predecessor still active at comparable volume through 2025 (63 rows in 2024 vs 128 in 2021, ratio 0.4922) - evidence AGAINST equivalence: both courses are live",plausible but insufficient: name only 0.75 similar; predecessor still enrolling through 2025 - no taper,20251,False,1,False,False,False,True,128,63,0.4922,303,20251,False,yes
likely_equivalent_needs_review,likely_equivalent_needs_review,False,True,1183.111,بنيان الحواسيب1,495,20221,510.111,بنيان الحواسيب,"taper confirmed: predecessor last active 20242 (after the new course's debut), then near-zero for 3 consecutive semesters through 20252",name similarity 0.93 with degree-lineage link; unmet for confirmation: uniqueness/corroboration,20242,False,3,True,True,False,False,343,13,0.0379,302,20252,False,yes
confirmed_equivalent,likely_equivalent_needs_review,True,True,1184.111,الخوارزميات وبنى المعطيات1,486,20221,516.111,الخوارزميات وبنى المعطيات 1,"taper confirmed: predecessor last active 20241 (after the new course's debut), then near-zero for 4 consecutive semesters through 20252","exact normalized name, equal credits (3.0) and requirement type, degree-lineage link, and an extended-history taper: predecessor 516.111 last active 20241, near-zero for 4 consecutive semesters through 20252",20241,False,4,True,True,False,False,308,15,0.0487,314,20252,False,yes
likely_equivalent_needs_review,likely_equivalent_needs_review,False,True,1424.111,اللغة الإنكليزية – 2,471,20232,836.111,اللغة الانكليزية - 2,predecessor already fully tapered before the new course's debut (last active 20192); the extra years confirm no rebound but add no new evidence,name similarity 1.00 with degree-lineage link; unmet for confirmation: ambiguous: a second candidate carries equal evidence,20192,False,18,True,False,True,False,4,0,0.0,701,20252,False,yes
unresolved,unresolved,False,True,1185.111,أساسيات قواعد البيانات,461,20221,517.111,قواعد البيانات 1,"taper confirmed: predecessor last active 20242 (after the new course's debut), then near-zero for 3 consecutive semesters through 20252",plausible but insufficient: name only 0.74 similar,20242,False,3,True,True,False,False,248,40,0.1613,331,20251,False,yes
likely_equivalent_needs_review,likely_equivalent_needs_review,False,True,1189.111,الخوارزميات وبنى المعطيات2,394,20221,522.111,الخوارزميات وبنى المعطيات 2,"predecessor still running through 2025 at reduced volume (last active 20251, 2024/2021 ratio 0.0853) - no confirmed taper","name similarity 1.00 with degree-lineage link; unmet for confirmation: requirement_type, predecessor did not taper - still enrolling through 2025",20251,False,1,False,False,False,False,211,18,0.0853,278,20251,False,yes
unresolved,unresolved,False,True,1374.111,مبادئ التسويق,394,20221,98.111,إدارة التسويق,"predecessor still running through 2025 at reduced volume (last active 20252, 2024/2021 ratio 0.1478) - no confirmed taper",plausible but insufficient: name only 0.77 similar; predecessor still enrolling through 2025 - no taper,20252,False,0,False,False,False,False,230,34,0.1478,169,20252,False,yes
likely_equivalent_needs_review,likely_equivalent_needs_review,False,True,1182.111,الإحصاء والاحتمالات,378,20221,504.111,الإحصاء والاحتمالات,"predecessor still running through 2025 at reduced volume (last active 20252, 2024/2021 ratio 0.1344) - no confirmed taper",name similarity 1.00 with degree-lineage link; unmet for confirmation: predecessor did not taper - still enrolling through 2025,20252,False,0,False,False,False,False,253,34,0.1344,351,20252,False,yes
likely_equivalent_needs_review,likely_equivalent_needs_review,False,True,1282.111,الاقتصاد الجزئي,373,20222,45.111,الاقتصاد الجزئي,"predecessor still running through 2025 at reduced volume (last active 20251, 2024/2021 ratio 0.2441) - no confirmed taper","name similarity 1.00 with degree-lineage link; unmet for confirmation: credits, predecessor did not taper - still enrolling through 2025",20251,False,1,False,False,False,False,213,52,0.2441,216,20252,False,yes
likely_equivalent_needs_review,likely_equivalent_needs_review,False,True,1187.111,نظرية الحوسبة,371,20221,521.111,نظرية الحوسبة,"predecessor still running through 2025 at reduced volume (last active 20251, 2024/2021 ratio 0.1623) - no confirmed taper","name similarity 1.00 with degree-lineage link; unmet for confirmation: requirement_type, predecessor did not taper - still enrolling through 2025",20251,False,1,False,False,False,False,154,25,0.1623,300,20251,False,yes
unresolved,unresolved,False,True,1191.111,تراسل البيانات,355,20221,512.111,تراسل المعطيات,"taper confirmed: predecessor last active 20242 (after the new course's debut), then near-zero for 3 consecutive semesters through 20252",plausible but insufficient: name only 0.79 similar,20242,False,3,True,True,False,False,182,52,0.2857,251,20251,False,yes
unresolved,unresolved,False,True,1188.111,مدخل إلى هندسة البرمجيات,324,20221,532.111,هندسة البرمجيات,"predecessor still active at comparable volume through 2025 (58 rows in 2024 vs 73 in 2021, ratio 0.7945) - evidence AGAINST equivalence: both courses are live",plausible but insufficient: requirement type differs; name only 0.79 similar; predecessor still enrolling through 2025 - no taper,20252,False,0,False,False,False,True,73,58,0.7945,273,20252,False,yes
likely_equivalent_needs_review,likely_equivalent_needs_review,False,True,1195.111,نظرية المعلومات,316,20221,437.111,نظرية المعلومات,"predecessor still running through 2025 at reduced volume (last active 20251, 2024/2021 ratio 0.239) - no confirmed taper",name similarity 1.00 with degree-lineage link; unmet for confirmation: predecessor did not taper - still enrolling through 2025,20251,False,1,False,False,False,False,205,49,0.239,144,20251,False,yes
likely_equivalent_needs_review,likely_equivalent_needs_review,False,True,1429.111,علم البيئة,308,20231,1021.111,علم البيئة,"predecessor still running through 2025 at reduced volume (last active 20252, 2024/2021 ratio 0.1991) - no confirmed taper",name similarity 1.00 with degree-lineage link; unmet for confirmation: predecessor did not taper - still enrolling through 2025,20252,False,0,False,False,False,False,1155,230,0.1991,750,20252,False,yes
likely_equivalent_needs_review,likely_equivalent_needs_review,False,True,1190.111,المعادلات التفاضلية والتحويلات,305,20221,426.111,المعادلات التفاضلية والتحويلات,"taper confirmed: predecessor last active 20231 (after the new course's debut), then near-zero for 7 consecutive semesters through 20252",name similarity 1.00 with degree-lineage link; unmet for confirmation: requirement_type,20231,False,7,True,True,False,False,17,8,0.4706,233,20251,False,yes
likely_equivalent_needs_review,likely_equivalent_needs_review,False,True,1376.111,مبادئ المحاسبة2,292,20222,2.111,مبادئ المحاسبة 2,"predecessor still running through 2025 at reduced volume (last active 20251, 2024/2021 ratio 0.0886) - no confirmed taper","name similarity 1.00 with degree-lineage link; unmet for confirmation: credits, predecessor did not taper - still enrolling through 2025",20251,False,1,False,False,False,False,316,28,0.0886,214,20251,False,yes
unresolved,unresolved,False,True,1186.111,البرمجة3,277,20221,519.111,برمجة النظم,"predecessor still active at comparable volume through 2025 (63 rows in 2024 vs 128 in 2021, ratio 0.4922) - evidence AGAINST equivalence: both courses are live",plausible but insufficient: name only 0.75 similar; predecessor still enrolling through 2025 - no taper,20251,False,1,False,False,False,True,128,63,0.4922,204,20251,False,yes
likely_equivalent_needs_review,likely_equivalent_needs_review,False,True,1192.111,بنيان الحواسيب2,272,20221,510.111,بنيان الحواسيب,"taper confirmed: predecessor last active 20242 (after the new course's debut), then near-zero for 3 consecutive semesters through 20252",name similarity 0.93 with degree-lineage link; unmet for confirmation: uniqueness/corroboration,20242,False,3,True,True,False,False,343,13,0.0379,259,20251,False,yes
unresolved,unresolved,False,True,1309.111,إحصاء الاعمال1,268,20222,120.111,إحصاء الأعمال والاقتصاد,"predecessor still running through 2025 at reduced volume (last active 20252, 2024/2021 ratio 0.0629) - no confirmed taper",plausible but insufficient: name only 0.72 similar; predecessor still enrolling through 2025 - no taper,20252,False,0,False,False,False,False,286,18,0.0629,192,20252,False,yes
likely_equivalent_needs_review,likely_equivalent_needs_review,False,True,1373.111,مبادئ الإدارة المالية,254,20222,44.111,مبادئ الإدارة المالية,"predecessor still running through 2025 at reduced volume (last active 20251, 2024/2021 ratio 0.0898) - no confirmed taper","name similarity 1.00 with degree-lineage link; unmet for confirmation: credits, predecessor did not taper - still enrolling through 2025",20251,False,1,False,False,False,False,423,38,0.0898,220,20252,False,yes
likely_equivalent_needs_review,likely_equivalent_needs_review,False,True,1237.111,نظم قواعد البيانات,237,20221,527.111,قواعد البيانات 2,"predecessor still active at comparable volume through 2025 (57 rows in 2024 vs 102 in 2021, ratio 0.5588) - evidence AGAINST equivalence: both courses are live",name similarity 0.82 with degree-lineage link; unmet for confirmation: predecessor did not taper - still enrolling through 2025,20251,False,1,False,False,False,True,102,57,0.5588,174,20251,False,yes
unresolved,unresolved,False,True,1193.111,نظم التشغيل1,223,20221,528.111,نظم التشغيل,"predecessor still active at comparable volume through 2025 (105 rows in 2024 vs 48 in 2021, ratio 2.1875) - evidence AGAINST equivalence: both courses are live",plausible but insufficient: requirement type differs; name only 0.92 similar; predecessor still enrolling through 2025 - no taper,20251,False,1,False,False,False,True,48,105,2.1875,273,20251,False,yes
likely_equivalent_needs_review,likely_equivalent_needs_review,False,True,1194.111,مدخل إلى الذكاء الصنعي,213,20221,435.111,مقدمة في الذكاء الصنعي,"predecessor still running through 2025 at reduced volume (last active 20252, 2024/2021 ratio 0.2262) - no confirmed taper",name similarity 0.81 with degree-lineage link; unmet for confirmation: predecessor did not taper - still enrolling through 2025,20252,False,0,False,False,False,False,252,57,0.2262,175,20252,False,yes
likely_equivalent_needs_review,likely_equivalent_needs_review,False,True,1346.111,بحوث العمليات,190,20223,122.111,بحوث العمليات,"predecessor still active at comparable volume through 2025 (59 rows in 2024 vs 100 in 2021, ratio 0.59) - evidence AGAINST equivalence: both courses are live","name similarity 1.00 with degree-lineage link; unmet for confirmation: requirement_type, predecessor did not taper - still enrolling through 2025",20251,False,1,False,False,False,True,100,59,0.59,159,20251,False,yes
confirmed_equivalent,likely_equivalent_needs_review,True,True,1164.111,التحليل العددي,185,20221,503.111,التحليل العددي,"taper confirmed: predecessor last active 20242 (after the new course's debut), then near-zero for 3 consecutive semesters through 20252","exact normalized name, equal credits (3.0) and requirement type, degree-lineage link, and an extended-history taper: predecessor 503.111 last active 20242, near-zero for 3 consecutive semesters through 20252",20242,False,3,True,True,False,False,341,22,0.0645,164,20251,False,yes
likely_equivalent_needs_review,likely_equivalent_needs_review,False,True,1425.111,مدخل الى القانون,185,20231,1019.111,مدخل الى القانون,"predecessor still running through 2025 at reduced volume (last active 20252, 2024/2021 ratio 0.2984) - no confirmed taper",name similarity 1.00 with degree-lineage link; unmet for confirmation: predecessor did not taper - still enrolling through 2025,20252,False,0,False,False,False,False,801,239,0.2984,518,20252,False,yes
unresolved,unresolved,False,True,1371.111,مبادئ الاقتصاد,168,20221,154.111,مبادئ المحاسبة 1,predecessor already fully tapered before the new course's debut (last active 20141); the extra years confirm no rebound but add no new evidence,plausible but insufficient: requirement type differs; name only 0.60 similar,20141,False,37,True,False,True,False,0,0,,183,20251,False,yes
unresolved,unresolved,False,True,1327.111,إدارة العمليات والإنتاج,161,20222,120.111,إحصاء الأعمال والاقتصاد,"predecessor still running through 2025 at reduced volume (last active 20252, 2024/2021 ratio 0.0629) - no confirmed taper",plausible but insufficient: name only 0.67 similar; predecessor still enrolling through 2025 - no taper,20252,False,0,False,False,False,False,286,18,0.0629,148,20252,False,yes
unresolved,unresolved,False,True,1405.111,مناهج البحث العلمي,153,20232,171.111,منهج البحث العلمي,predecessor already fully tapered before the new course's debut (last active 20142); the extra years confirm no rebound but add no new evidence,plausible but insufficient: credits differ (4.0 -> 3.0); requirement type differs; name only 0.97 similar,20142,False,36,True,False,True,False,0,0,,172,20252,False,yes
likely_equivalent_needs_review,likely_equivalent_needs_review,False,True,1196.111,شبكات الحاسوب,149,20221,466.111,شبكات الحاسوب,"predecessor still active at comparable volume through 2025 (105 rows in 2024 vs 169 in 2021, ratio 0.6213) - evidence AGAINST equivalence: both courses are live","name similarity 1.00 with degree-lineage link; unmet for confirmation: requirement_type, predecessor did not taper - still enrolling through 2025",20251,False,1,False,False,False,True,169,105,0.6213,250,20251,False,yes
likely_equivalent_needs_review,likely_equivalent_needs_review,False,True,1235.111,تصميم المترجمات,140,20221,523.111,تصميم المترجمات,"predecessor still active at comparable volume through 2025 (69 rows in 2024 vs 141 in 2021, ratio 0.4894) - evidence AGAINST equivalence: both courses are live",name similarity 1.00 with degree-lineage link; unmet for confirmation: predecessor did not taper - still enrolling through 2025,20252,False,0,False,False,False,True,141,69,0.4894,185,20252,False,yes
confirmed_equivalent,confirmed_equivalent,False,False,1201.111,الرياضيات الترميمية,122,20221,1036.111,رياضيات ترميمية,carried over unchanged - outside this task's scope,"exact normalized name, equal credits (4.0) and requirement type, degree-lineage link, and predecessor enrolment collapsed to 0% of its final TRAIN year",,,,,,,,,,,41,20242,True,yes
unresolved,unresolved,False,True,1357.111,تقييم المشروعات ودراسات الجدوى الاقتصادية,115,20231,188.111,دراسات الجدوى الاقتصادية,predecessor already fully tapered before the new course's debut (last active 20153); the extra years confirm no rebound but add no new evidence,plausible but insufficient: requirement type differs; name only 0.74 similar,20153,False,31,True,False,True,False,0,0,,132,20251,False,yes
unresolved,unresolved,False,True,1236.111,بنيان البرمجيات,113,20222,532.111,هندسة البرمجيات,"predecessor still active at comparable volume through 2025 (58 rows in 2024 vs 73 in 2021, ratio 0.7945) - evidence AGAINST equivalence: both courses are live",plausible but insufficient: name only 0.73 similar; predecessor still enrolling through 2025 - no taper,20252,False,0,False,False,False,True,73,58,0.7945,85,20251,False,yes
unresolved,unresolved,False,True,1204.111,مدخل إلى تعلم الآلة,112,20221,445.111,مدخل إلى الروبوتية,"predecessor never reached the 5-enrolment activity floor in any semester of the extended file (14 rows in total) - there is no taper to observe, so no corroboration is available",plausible but insufficient: name only 0.65 similar; predecessor still enrolling through 2025 - no taper,,True,66,False,False,False,False,0,1,,115,20251,False,yes
likely_equivalent_needs_review,likely_equivalent_needs_review,False,True,1166.111,إدارة المشاريع,112,20221,505.111,إدارة المشاريع,"predecessor still running through 2025 at reduced volume (last active 20251, 2024/2021 ratio 0.2376) - no confirmed taper",name similarity 1.00 with degree-lineage link; unmet for confirmation: predecessor did not taper - still enrolling through 2025,20251,False,1,False,False,False,False,181,43,0.2376,70,20251,False,yes
likely_equivalent_needs_review,likely_equivalent_needs_review,False,True,1283.111,الاقتصاد الكلي,109,20223,48.111,الاقتصاد الكلي,"predecessor still active at comparable volume through 2025 (92 rows in 2024 vs 176 in 2021, ratio 0.5227) - evidence AGAINST equivalence: both courses are live","name similarity 1.00 with degree-lineage link; unmet for confirmation: credits, predecessor did not taper - still enrolling through 2025",20251,False,1,False,False,False,True,176,92,0.5227,158,20251,False,yes
unresolved,unresolved,False,True,1303.111,المالية العامة,105,20222,182.111,مالية عامة,predecessor already fully tapered before the new course's debut (last active 20152); the extra years confirm no rebound but add no new evidence,plausible but insufficient: credits differ (2.0 -> 3.0); requirement type differs,20152,False,32,True,False,True,False,0,0,,161,20251,False,yes
likely_equivalent_needs_review,likely_equivalent_needs_review,False,True,1385.111,محاسبة شركات أشخاص,104,20223,3.111,محاسبة شركات الاشخاص,"predecessor still running through 2025 at reduced volume (last active 20251, 2024/2021 ratio 0.1231) - no confirmed taper",name similarity 1.00 with degree-lineage link; unmet for confirmation: predecessor did not taper - still enrolling through 2025,20251,False,1,False,False,False,False,130,16,0.1231,32,20251,False,yes
unresolved,unresolved,False,True,1412.111,نظم المعلومات الإدارية,91,20222,545.111,نظم المعلومات الإدارية,"predecessor still active at comparable volume through 2025 (116 rows in 2024 vs 43 in 2021, ratio 2.6977) - evidence AGAINST equivalence: both courses are live",plausible but insufficient: no degree-lineage link to the candidate's degrees; requirement type differs; predecessor still enrolling through 2025 - no taper,20251,False,1,False,False,False,True,43,116,2.6977,184,20251,False,yes
likely_equivalent_needs_review,likely_equivalent_needs_review,False,True,1246.111,قواعد البيانات المتقدمة,90,20221,533.111,قواعد البيانات المتقدمة,"predecessor still active at comparable volume through 2025 (90 rows in 2024 vs 33 in 2021, ratio 2.7273) - evidence AGAINST equivalence: both courses are live","name similarity 1.00 with degree-lineage link; unmet for confirmation: requirement_type, predecessor did not taper - still enrolling through 2025",20252,False,0,False,False,False,True,33,90,2.7273,125,20252,False,yes
likely_equivalent_needs_review,likely_equivalent_needs_review,False,True,1426.111,علم الاجتماع,87,20231,1018.111,علم اجتماع,"predecessor still running through 2025 at reduced volume (last active 20252, 2024/2021 ratio 0.1253) - no confirmed taper",name similarity 1.00 with degree-lineage link; unmet for confirmation: predecessor did not taper - still enrolling through 2025,20252,False,0,False,False,False,False,758,95,0.1253,226,20252,False,yes
unresolved,unresolved,False,True,489.111,الآلات الكهربائية,84,20221,468.111,الاتصالات الضوئية,"taper confirmed: predecessor last active 20242 (after the new course's debut), then near-zero for 3 consecutive semesters through 20252",plausible but insufficient: name only 0.71 similar,20242,False,3,True,True,False,False,46,18,0.3913,10,20241,True,yes
unresolved,unresolved,False,True,1197.111,تطبيقات,84,20222,540.111,تطبيقات إنترنت,"predecessor still active at comparable volume through 2025 (110 rows in 2024 vs 27 in 2021, ratio 4.0741) - evidence AGAINST equivalence: both courses are live",plausible but insufficient: credits differ (3.0 -> 2.0); requirement type differs; name only 0.67 similar; predecessor still enrolling through 2025 - no taper,20251,False,1,False,False,False,True,27,110,4.0741,225,20252,False,yes
unresolved,unresolved,False,True,1203.111,نظرية الألعاب,81,20231,521.111,نظرية الحوسبة,"predecessor still running through 2025 at reduced volume (last active 20251, 2024/2021 ratio 0.1623) - no confirmed taper",plausible but insufficient: name only 0.69 similar; predecessor still enrolling through 2025 - no taper,20251,False,1,False,False,False,False,154,25,0.1623,50,20251,False,yes
unresolved,unresolved,False,True,1163.111,الإنكليزية للمهندسين,76,20222,1080.111,لغة انكليزية لمهندسي البترول,"predecessor still active at comparable volume through 2025 (106 rows in 2024 vs 25 in 2021, ratio 4.24) - evidence AGAINST equivalence: both courses are live",plausible but insufficient: no degree-lineage link to the candidate's degrees; name only 0.73 similar; predecessor still enrolling through 2025 - no taper,20251,False,1,False,False,False,True,25,106,4.24,89,20251,False,yes
genuinely_new,genuinely_new,False,False,1238.111,النظم الموزعة والحوسبة السحابية,63,20222,,,carried over unchanged - outside this task's scope,no TRAIN course reaches the plausibility bar on normalized name similarity in any degree,,,,,,,,,,,196,20251,False,yes
likely_equivalent_needs_review,likely_equivalent_needs_review,False,True,1205.111,معالجة الصور وتحليلها,55,20221,451.111,معالجة الصور وتحليلها,"predecessor still active at comparable volume through 2025 (28 rows in 2024 vs 3 in 2021, ratio 9.3333) - evidence AGAINST equivalence: both courses are live","name similarity 1.00 with degree-lineage link; unmet for confirmation: requirement_type, predecessor did not taper - still enrolling through 2025",20251,False,1,False,False,False,True,3,28,9.3333,85,20251,False,yes
unresolved,unresolved,False,True,1272.111,أمن نظم قواعد البيانات,54,20231,382.111,قواعد البيانات 2,predecessor already fully tapered before the new course's debut (last active 20133); the extra years confirm no rebound but add no new evidence,plausible but insufficient: name only 0.74 similar,20133,False,39,True,False,True,False,0,0,,76,20251,False,yes
unresolved,unresolved,False,True,103.111,تسويق الخدمات,54,20221,507.111,التسويق,predecessor already fully tapered before the new course's debut (last active 20192); the extra years confirm no rebound but add no new evidence,plausible but insufficient: no degree-lineage link to the candidate's degrees; credits differ (2.0 -> 3.0); requirement type differs; name only 0.62 similar,20192,False,18,True,False,True,False,0,0,,26,20252,False,yes
likely_equivalent_needs_review,likely_equivalent_needs_review,False,True,1409.111,نظرية المحاسبة,52,20232,24.111,نظرية المحاسبة,"predecessor still active at comparable volume through 2025 (26 rows in 2024 vs 10 in 2021, ratio 2.6) - evidence AGAINST equivalence: both courses are live","name similarity 1.00 with degree-lineage link; unmet for confirmation: requirement_type, predecessor did not taper - still enrolling through 2025",20251,False,1,False,False,False,True,10,26,2.6,54,20251,False,yes
unresolved,unresolved,False,True,104.111,إدارة النقل,51,20222,81.111,إدارة التغيير,"taper confirmed: predecessor last active 20242 (after the new course's debut), then near-zero for 3 consecutive semesters through 20252",plausible but insufficient: no degree-lineage link to the candidate's degrees; name only 0.67 similar,20242,False,3,True,True,False,False,44,19,0.4318,5,20251,False,yes
